Do you have meritorious scholarship ?,How many hour do you study daily?,What is your preferable learning mode?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,What is your relationship status?,What was your previous SGPA?,What is your current CGPA?,target
0,2.0,0,5.0,1,71,0,3,2.79,3.88,1
1,3.0,0,3.0,2,71,1,3,2.75,3.82,1
0,4.0,1,4.0,0,71,0,1,2.88,3.9,1
0,2.0,0,3.0,1,71,1,3,2.54,3.61,1
0,3.0,0,2.0,2,71,0,3,2.54,3.64,1
1,6.0,0,7.0,0,71,0,3,2.91,3.97,0
1,5.0,0,3.0,2,71,0,1,2.78,3.8,1
1,2.0,0,4.0,0,71,0,3,2.32,3.87,0
1,3.0,0,3.0,2,71,1,3,2.85,3.93,1
0,3.0,0,7.0,2,71,0,3,2.13,3.03,0
1,2.0,0,3.0,2,61,0,3,2.5,3.48,1
0,5.0,0,5.0,2,71,0,3,2.85,3.65,1
0,5.0,0,6.0,1,55,0,3,2.2,3.5,0
1,3.5,1,5.0,0,67,0,1,2.48,3.48,0
0,4.0,0,3.0,2,66,0,3,2.87,3.93,1
1,2.0,0,4.0,2,67,0,3,2.56,3.35,1
0,4.0,0,7.0,2,71,0,1,2.31,3.45,0
0,3.0,0,3.0,1,71,0,2,2.45,3.56,0
0,4.0,1,5.0,2,55,0,1,2.09,3.34,0
0,3.0,0,3.551912339475154,2,30,1,3,2.45,3.55,0
0,2.0,1,3.0,2,36,0,2,2.67,3.77,0
0,2.0,1,3.0,1,33,0,2,2.67,3.74,0
0,4.0,0,2.0,2,50,1,1,2.54,3.63,1
1,2.0,0,2.0,2,71,0,1,2.65,3.79,1
1,2.0,0,3.0,0,42,1,2,2.77,3.8,1
0,5.0,0,5.0,2,71,0,3,2.07,3.28,0
0,2.0,1,2.0,2,54,0,1,2.45,3.51,0
1,5.0,0,2.0,2,71,0,1,2.77,3.85,1
0,5.0,1,3.0,1,71,1,3,2.63,3.7,1
1,3.0,1,2.0,0,44,0,1,2.81,3.79,1
0,2.0,0,3.0,2,71,0,3,2.44,3.44,0
0,5.0,0,6.0,0,71,0,1,2.55,3.8,0
0,3.0,0,5.0,1,71,0,3,2.22,3.35,0
0,3.0,0,3.0,1,71,0,3,2.56,3.64,1
0,4.0,0,2.0,0,43,0,1,2.67,3.77,1
0,4.0,0,6.0,0,71,0,3,2.31,3.44,0
0,2.0,0,2.0,0,71,1,1,2.64,3.71,1
1,2.5,1,4.0,1,44,0,3,2.88,3.6,1
0,3.0,0,6.0,2,55,1,1,2.61,3.57,0
1,5.0,0,2.0,0,71,0,2,2.66,3.83,1
0,3.0,0,3.0,2,71,0,2,2.87,3.91,1
1,2.0,0,7.0,2,51,1,3,2.09,3.23,0
1,7.0,0,3.0,2,71,0,2,2.78,3.89,1
0,3.0,0,3.0,0,61,0,3,2.78,3.89,1
0,2.0,1,6.0,2,71,0,1,2.7,3.5,0
0,2.0,0,2.0,2,54,1,3,2.76,3.8,1
0,2.0,0,2.0,2,51,0,3,2.67,3.73,1
0,2.0,0,3.0,0,50,0,3,2.86,3.9,1
0,4.0,0,2.0,2,44,0,3,2.03,3.25,0
0,4.0,0,7.0,0,61,0,1,2.31,3.65,0
1,4.0,0,3.0,0,71,0,3,2.66,3.78,1
0,6.0,1,3.0,2,71,0,1,2.11,3.26,0
1,3.0,0,5.0,0,64,0,3,2.4,3.44,0
